timestamp_ns,time_sec,flight_id,fault_type,alt_error,aspd_error,xtrack_error,wp_dist,nav_roll,nav_pitch,nav_yaw,nav_x,nav_y,nav_z,label_anomaly
1532134949003780240,0.0,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-1.93999993801,-719.174377441,-33.3959922791,11,15.6513271332,13.7238178253,-69.9196472168,10.5109043121,-18.2270355225,-5.12336015701,0
1532134949071279312,0.067499072,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-2.47000002861,-733.936096191,-31.3435764313,13,15.6513271332,13.7238178253,-69.9196472168,10.7749042511,-17.709859848,-5.47199821472,0
1532134949102360432,0.098580192,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-2.47000002861,-733.936096191,-31.3435764313,13,15.6513271332,13.7238178253,-69.9196472168,10.9574022293,-17.3524551392,-5.69134950638,0
1532134949157769072,0.153988832,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-3.06999993324,-734.016418457,-29.3450317383,15,15.6513271332,13.7238178253,-69.9196472168,11.3200387955,-16.6085739136,-6.05672264099,0
1532134949201213392,0.197433152,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-3.06999993324,-734.016418457,-29.3450317383,15,15.6513271332,13.7238178253,-69.9196472168,11.4104719162,-16.4148387909,-6.11822891235,0
1532134949248284016,0.244503776,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-3.73000001907,-718.221862793,-155.657913208,17,15.6513271332,13.7238178253,-69.9196472168,11.7570028305,-15.6035470963,-6.39088249207,0
1532134949301613360,0.29783312,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-3.73000001907,-718.221862793,-155.657913208,17,33.8125534058,26.2848510742,-63.3791427612,11.8407373428,-15.398358345,-6.45320367813,0
1532134949375543280,0.37176304,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-4.42000007629,-603.34387207,-157.159713745,19,33.8125534058,26.2848510742,-63.3791427612,12.1669425964,-14.5954742432,-6.62197256088,0
1532134949416207888,0.412427648,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-4.42000007629,-603.34387207,-157.159713745,19,33.8125534058,26.2848510742,-63.3791427612,12.2410240173,-14.3897600174,-6.6361656189,0
1532134949474183184,0.470402944,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-5.15000009537,-574.398498535,-158.57850647,20,33.8125534058,26.2848510742,-63.3791427612,12.509018898,-13.6111907959,-6.62441158295,0
1532134949537262192,0.533481952,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-5.15000009537,-574.398498535,-158.57850647,20,33.8125534058,26.2848510742,-63.3791427612,12.6917858124,-13.0574970245,-6.57478952408,0
1532134949576357872,0.572577632,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-5.86999988556,-535.234924316,-159.879608154,22,33.8125534058,26.2848510742,-63.3791427612,12.8155536652,-12.6934022903,-6.54369831085,0
1532134949629877584,0.626097344,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-5.86999988556,-535.234924316,-159.879608154,22,40.0989837646,28.6066226959,-54.0639610291,13.0067949295,-12.0835084915,-6.50543785095,0
1532134949678296400,0.67451616,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-6.59999990463,-495.806396484,-161.080184937,24,40.0989837646,28.6066226959,-54.0639610291,13.1380987167,-11.6774177551,-6.46780109406,0
1532134949744660848,0.740880608,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-7.31999969482,-458.495239258,-162.197463989,25,40.0989837646,28.6066226959,-54.0639610291,13.3100862503,-11.1271419525,-6.38363790512,0
1532134949798272080,0.79449184,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-7.31999969482,-458.495239258,-162.197463989,25,40.0989837646,28.6066226959,-54.0639610291,13.4600992203,-10.5962314606,-6.26768541336,0
1532134949847547600,0.84376736,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-8.02999973297,-407.602966309,-163.205215454,27,40.0989837646,28.6066226959,-54.0639610291,13.6292190552,-9.93040275574,-6.02164793015,0
1532134949901634480,0.89785424,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-8.02999973297,-407.602966309,-163.205215454,27,40.0989837646,28.6066226959,-54.0639610291,13.7403802872,-9.46978378296,-5.80624914169,0
1532134949937782704,0.934002464,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-8.02999973297,-407.602966309,-163.205215454,27,40.0989837646,28.6066226959,-54.0639610291,13.7403802872,-9.46978378296,-5.80624914169,0
1532134949979791056,0.976010816,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-8.71000003815,-342.249572754,-164.146255493,28,40.0989837646,28.6066226959,-54.0639610291,13.8356876373,-9.05188179016,-5.55632305145,0
1532134950036377552,1.032597312,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-8.71000003815,-342.249572754,-164.146255493,28,40.0989837646,28.6066226959,-54.0639610291,13.8622074127,-8.90885353088,-5.4655790329,0
1532134950055992176,1.052211936,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-9.3499994278,-274.331176758,-165.0027771,30,47.3367881775,25.2235221863,-41.6799468994,13.9187812805,-8.62994766235,-5.27095985413,0
1532134950111398256,1.107618016,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-9.3499994278,-274.331176758,-165.0027771,30,47.3367881775,25.2235221863,-41.6799468994,13.9579391479,-8.40200138092,-5.06809139252,0
1532134950169848208,1.166067968,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-9.9299993515,-183.225540161,-165.800170898,31,47.3367881775,25.2235221863,-41.6799468994,14.0672664642,-7.83515405655,-4.5042257309,0
1532134950227058224,1.223277984,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-9.9299993515,-183.225540161,-165.800170898,31,47.3367881775,25.2235221863,-41.6799468994,14.0672664642,-7.83515405655,-4.5042257309,0
1532134950267550832,1.263770592,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-10.4499998093,-102.157501221,-166.547439575,33,47.3367881775,25.2235221863,-41.6799468994,14.139998436,-7.38124132156,-4.04034662247,0
1532134950310430224,1.306649984,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-10.4499998093,-102.157501221,-166.547439575,33,47.3367881775,25.2235221863,-41.6799468994,14.1578874588,-7.27160549164,-3.92394137383,0
1532134950357368176,1.353587936,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-10.9099998474,-43.5797691345,-167.244018555,34,47.3367881775,25.2235221863,-41.6799468994,14.2240037918,-6.92816162109,-3.59666228294,0
1532134950411981904,1.408201664,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-10.9099998474,-43.5797691345,-167.244018555,34,47.3367881775,25.2235221863,-41.6799468994,14.2671480179,-6.71192836761,-3.37906527519,0
1532134950471984720,1.46820448,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-11.3199996948,14.6129608154,-167.890197754,36,52.3362922668,18.7924442291,-32.1081619263,14.3259954453,-6.25200986862,-2.92871832848,0
1532134950497437136,1.493656896,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-11.3199996948,14.6129608154,-167.890197754,36,52.3362922668,18.7924442291,-32.1081619263,14.3465900421,-6.05586862564,-2.68983983994,0
1532134950548432560,1.54465232,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-11.6599998474,59.1831207275,-168.485076904,37,52.3362922668,18.7924442291,-32.1081619263,14.3698787689,-5.85982894897,-2.44984340668,0
1532134950625100784,1.621320544,carbonZ_2018-07-30-16-39-00_2_engine_failure,engine,-11.6599998474,59.1831207275,-168.485076904,37,52.3362922668,18.7924442291,-32.1081619263,14.3861017227,-5.58510255814,-2.06823396683,0
