timestamp_ns,time_sec,flight_id,fault_type,alt_error,aspd_error,xtrack_error,wp_dist,nav_roll,nav_pitch,nav_yaw,nav_x,nav_y,nav_z,label_anomaly
1539875278910924072,0.0,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.35000002384,-416.512878418,-31.981754303,9,2.25458168983,-1.41296613216,-77.2387466431,2.97466683388,-16.2985649109,-2.09391665459,0
1539875278986554888,0.075630816,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.35000002384,-416.512878418,-31.981754303,9,2.25458168983,-1.41296613216,-77.2387466431,3.1191368103,-16.2439250946,-1.94381833076,0
1539875279023169224,0.112245152,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.55999994278,-412.548248291,-30.3082008362,11,2.25458168983,-1.41296613216,-77.2387466431,3.17767262459,-16.2199077606,-1.81816542149,0
1539875279068619208,0.157695136,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.55999994278,-412.548248291,-30.3082008362,11,2.25458168983,-1.41296613216,-77.2387466431,3.22151398659,-16.1971359253,-1.62048828602,0
1539875279101806440,0.190882368,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.73000001907,-412.548248291,-28.640750885,12,18.4051418304,-4.02091932297,-74.8630981445,3.26514530182,-16.165184021,-1.43177783489,0
1539875279184926376,0.274002304,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.86000001431,-394.706359863,-332.480682373,14,18.4051418304,-4.02091932297,-74.8630981445,3.52430677414,-16.059879303,-1.13701891899,0
1539875279223225416,0.312301344,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.86000001431,-394.706359863,-332.480682373,14,18.4051418304,-4.02091932297,-74.8630981445,3.52430677414,-16.059879303,-1.13701891899,0
1539875279287242632,0.37631856,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.9699999094,-294.706359863,-330.874542236,16,18.4051418304,-4.02091932297,-74.8630981445,3.90262651443,-15.9512472153,-1.02276623249,0
1539875279342585544,0.431661472,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.9699999094,-294.706359863,-330.874542236,16,18.4051418304,-4.02091932297,-74.8630981445,4.08806991577,-15.9092712402,-1.0002425909,0
1539875279391245576,0.480321504,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-1.9699999094,-294.706359863,-330.874542236,16,18.4051418304,-4.02091932297,-74.8630981445,4.2881526947,-15.8657665253,-0.997472643852,0
1539875279425715208,0.514791136,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-2.05999994278,-282.588195801,-329.276916504,17,29.4075527191,-5.17468166351,-73.0349502563,4.4879732132,-15.823135376,-0.990220189095,0
1539875279454230568,0.543306496,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-2.05999994278,-282.588195801,-329.276916504,17,29.4075527191,-5.17468166351,-73.0349502563,4.4879732132,-15.823135376,-0.990220189095,0
1539875279515263656,0.604339584,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-2.14999985695,-282.588195801,-327.704620361,19,29.4075527191,-5.17468166351,-73.0349502563,5.00958633423,-15.6827344894,-0.872885882854,0
1539875279581599400,0.670675328,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,engine,-2.14999985695,-282.588195801,-327.704620361,19,29.4075527191,-5.17468166351,-73.0349502563,5.33699846268,-15.5869436264,-0.758698225021,0
